,ys,ys_est_RNN,ys_est_LSTM,ys_est_FNN
113,139.7894152,141.67189,139.45084,138.34596
114,135.2956271,133.66641,133.73973,134.5313
115,132.8052332,132.55695,131.72627,129.89087
116,133.7297714,139.78107,139.50075,135.96744
117,136.3853922,138.48116,135.77559,136.39328
118,136.7221392,134.63481,134.3375,131.85419
119,117.0232519,131.9624,133.7807,137.21239
120,122.6112074,126.0184,133.53462,131.7354
121,130.8338777,132.55695,131.81908,129.91963
122,133.1184165,141.0127,137.58763,137.60054
123,132.1560975,133.9226,128.82373,128.84859
124,122.5524382,122.874344,134.05626,132.78343
125,136.5431161,136.39265,139.15579,137.12517
126,147.3599455,142.41185,138.22685,137.02647
127,137.7635535,145.85027,136.28775,134.20479
128,141.7766409,145.74545,140.25377,139.17844
129,139.3782506,141.66551,139.75595,138.32352
130,138.6625673,135.40059,135.21938,137.15906
131,146.8316514,147.32587,140.50713,138.29538
132,131.9204692,127.83019,133.70589,130.6704
133,130.3898744,135.65036,133.0121,134.27513
134,126.3369594,131.53864,133.55182,133.70285
135,132.5177069,132.01201,133.3245,131.7159
136,140.607186,140.19644,138.32243,140.56354
137,140.4253179,137.43607,138.25676,140.04877
138,124.3719073,123.82254,134.68535,124.54018
139,138.0600962,140.50731,137.75786,139.54047
140,136.5722465,145.27054,138.87508,136.49834
141,134.6147092,134.55643,132.9991,133.4619
142,130.345636,119.81182,137.50156,137.7561
143,123.5085302,127.84389,134.39848,132.38603
144,142.1937626,138.73871,133.97745,133.69568
145,138.436178,140.19844,133.37793,135.22249
146,125.8527141,131.5004,133.81068,130.73102
147,133.6898059,132.72556,134.89401,132.36006
148,136.7949777,140.52809,138.31285,136.30553
149,138.3199569,145.36343,137.93393,138.90985
150,130.6490811,135.11082,135.34793,133.63919
151,132.8384409,139.28064,138.68259,139.1013
152,140.9899772,133.9191,133.44154,137.55739
153,133.9777569,133.50262,133.15953,136.33076
154,142.8082455,145.21883,138.80627,137.43762
155,156.547197,146.69104,138.66058,142.97641
156,129.6298325,132.25519,133.57611,135.93404
157,130.1701502,130.26671,138.52325,137.5225
158,139.6079827,145.03941,138.56389,138.09604
159,132.5733395,131.24263,137.17372,139.15347
160,132.8124949,132.06703,133.54584,135.12737
161,136.3795735,110.85821,137.0788,129.38203
162,125.8335151,124.771645,134.6663,134.83284
163,139.0956237,138.85806,139.28749,139.82251
164,140.9012754,132.35309,139.63338,137.371
165,142.4336934,136.66608,134.97897,131.18257
166,151.0366781,147.29396,141.20084,139.31284
167,136.4196108,132.38956,138.37952,139.57324
168,135.9517379,132.16512,134.29987,128.83676
169,137.4869167,133.86343,133.06995,136.45729
170,134.0746599,133.9848,137.40271,137.49962
171,134.4326592,136.13496,133.95912,134.61601
172,141.4388518,142.32393,137.8248,138.47984
173,155.1365886,141.75009,136.70728,134.85757
174,133.6571188,131.59264,130.63698,133.0161
175,124.5789004,128.99957,133.58344,131.40714
176,145.2899769,136.47487,137.43895,136.92505
177,135.4040223,132.10124,131.7212,134.2831
178,136.0362014,132.67369,133.38243,135.27858
179,142.9395436,143.05215,137.5285,140.79472
180,134.7491319,131.90521,132.68913,134.90215
181,119.731207,137.01637,134.30394,136.45966
182,138.4935754,134.95354,138.14404,139.8877
183,133.6102336,136.07382,133.49223,133.00972
184,135.2110742,134.45468,133.14719,136.74744
185,138.3288194,133.90417,134.08894,132.85384
186,134.661293,135.10573,134.31216,134.83531
187,134.6047753,138.00795,133.3686,132.9441
188,152.0717765,148.93849,137.98433,135.66647
189,134.829594,129.8615,133.57237,127.88184
190,131.4952791,130.80008,133.34543,132.91487
191,137.6775153,135.15724,140.00362,137.78644
192,136.0481237,136.48227,134.38133,135.63211
193,134.9005984,134.0202,134.94266,135.39673
194,138.1228981,138.49857,137.68697,138.9318
195,141.8188662,135.6924,134.51828,136.20897
196,136.9762918,131.1382,134.514,132.64442
197,138.6847571,140.14005,139.52666,137.89641
198,137.0959091,136.39018,134.0111,130.56934
199,129.2350524,132.7375,136.26898,135.84392
200,125.0490058,138.53397,137.47705,137.4296
201,111.8874119,130.21318,132.94785,136.6997
202,137.3233624,138.32425,138.69234,139.17516
203,147.4196818,146.10207,139.03558,139.58371
204,159.5067915,148.28581,141.75247,138.14755
205,117.8706949,133.89784,132.70284,128.1296
206,126.5240355,133.3994,137.68611,136.91774
207,143.1997024,135.8708,137.52808,133.59508
208,131.5067563,133.83401,134.678,136.60805
209,128.3288701,124.79766,132.7533,131.96793
210,132.7304343,133.42236,132.88658,134.94925
211,134.8773079,134.11615,134.7876,133.39795
212,133.9325694,133.61984,134.93462,137.40416
213,163.9777298,147.09753,140.47438,139.25427
214,136.4380182,135.21992,135.80113,133.3174
215,144.8832754,136.47487,137.44075,136.92505
216,142.857688,140.25294,138.27602,136.95732
217,142.2689454,140.94705,136.75755,133.19507
218,140.19952,139.94212,138.03928,136.54796
219,135.4459817,137.53143,135.06181,132.46275
220,132.8614583,133.5037,130.96405,137.16508
221,129.4993275,138.4068,136.57774,137.71857
222,135.8188613,139.64703,138.78621,137.41231
223,133.7547806,133.63138,137.79645,136.88626
224,141.9080114,141.7058,139.99797,137.81418
225,145.6664715,147.31874,141.8348,139.58932
226,137.8236464,131.44785,132.55798,133.06575
227,131.2456432,131.46275,134.51859,134.46744
228,137.7688125,137.40892,133.52217,135.72139
229,137.6593445,142.07674,137.9089,136.3519
230,117.7480625,126.75657,133.75435,136.83237
231,133.0809135,133.2177,132.13168,132.83614
232,137.6715873,137.16988,137.95557,139.398
233,136.2109375,135.81677,135.03394,134.0487
234,138.5108025,141.17036,137.79544,137.57602
235,133.7625,139.79422,132.87561,135.02681
236,121.8756325,131.42421,135.00955,137.16756
237,127.9942521,131.52625,136.03867,138.58084
238,140.0113595,135.10062,133.62595,132.9574
239,131.936859,131.77061,133.10701,134.9684
240,133.7728443,131.14798,133.361,133.06447
241,134.9108749,131.95102,133.41597,136.06462
242,141.3604298,131.10942,132.49709,132.44745
243,136.375604,136.23772,132.22836,134.89124
244,152.1608476,139.527,135.59625,138.59111
245,135.1165584,133.88756,135.45947,138.70293
246,132.0352723,137.38232,135.89638,139.08675
247,145.0232444,139.55534,139.33388,138.94879
248,140.3988986,146.82881,140.10815,140.32835
249,127.6647645,128.07666,132.5496,136.93683
