Unnamed: 0,capacity,days,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
854,137.462029,1175.686852,59675.1,30.75725338,10.47335185,10.36100352,5.501839436,20.59396143,50.29508197,50.0,1.245901639,10,121.6622951,122.7,4.219,34,34.90163934
855,141.7551133,1176.747963,59920.5,32.12135922,11.05027112,10.9539789,5.557724217,21.37889008,48.546875,49.0,1.951999676,10,121.1765625,122.2,4.22,33,33.625
856,141.8555793,1195.786736,64000.1,28.58368056,10.59624753,10.49511417,5.519655442,20.75741525,49.80952381,50.0,1.531231923,10,119.7634921,120.9,4.22,32,32.92063492
857,140.2573111,1312.134896,90151.7,21.66861144,10.70942816,10.57906068,5.591222766,20.88584478,49.5625,50.0,2.053008463,11,119.4484375,120.5,4.22,24,26.96875
858,143.1573002,1434.443414,114180.1,29.41777509,10.72875733,10.66155546,5.48449616,20.77967505,48.53968254,49.0,1.725857476,10,118.915873,120.0,4.22,32,32.65079365
859,135.6010713,1436.339826,114505.3,30.78860294,10.16976419,10.06132793,5.493643053,19.98861111,50.24390244,50.0,1.077044008,10,119.5284553,120.0,4.22,29,30.92682927
860,138.956367,1454.261204,119589.7,27.87708333,10.32130661,10.168479,5.471505573,20.42694888,50.95238095,51.0,1.749635531,12,118.5142857,119.5,4.22,28,29.3968254
861,139.3005848,1454.261204,119589.7,28.72727273,10.32130661,10.168479,5.471505573,20.42694888,50.95238095,51.0,1.749635531,12,118.5142857,119.5,4.22,28,29.3968254
862,134.1336321,1456.054352,120032.6,27.05671642,9.641347766,9.412540318,5.365950017,19.91974869,51.49180328,52.0,1.972125015,15,118.5016393,119.5,4.22,26,27.39344262
863,144.6125646,1468.152546,123218.0,30.58173844,10.62610066,10.23175445,5.835771333,31.69577473,49.73611111,51.0,2.472027146,13,115.5125,120.6,4.22,34,34.09722222
864,135.9384847,1491.25419,129706.1,30.66753927,9.598525994,9.364760917,5.264560333,19.43910962,52.1,52.0,2.022374842,15,117.915,119.2,4.22,32,33.38333333
865,142.115985,1502.225208,132307.2,31.62248322,9.787339331,9.658120127,5.356283435,19.94201351,51.56603774,52.0,1.947513499,13,119.4830189,120.8,4.22,34,34.71698113
866,138.0012579,1541.174456,143387.3,36.75472973,10.81776537,10.80229957,5.583208828,21.63463693,49.47272727,50.0,2.007753566,13,119.7909091,121.2,4.22,38,38.8
867,132.0217204,1578.265775,150885.7,26.98828125,8.248352889,6.927216447,7.052995823,47.87625757,49.45454545,50.0,2.164323802,13,109.3418182,118.4,4.22,24,25.29090909
868,134.9677315,1608.205208,157452.3,25.03840186,9.054951765,8.600264784,5.085505097,19.03640367,50.22413793,50.0,2.07649492,16,117.0482759,117.9,4.216,26,27.15517241
869,137.1604167,1608.205208,157452.3,26.44651867,9.054951765,8.600264784,5.085505097,19.03640367,50.22413793,50.0,2.07649492,16,117.0482759,117.9,4.216,26,27.15517241
870,131.7921821,1608.205208,157452.3,28.23841699,9.054951765,8.600264784,5.085505097,19.03640367,50.22413793,50.0,2.07649492,16,117.0482759,117.9,4.216,26,27.15517241
871,132.1965173,1612.162188,158411.3,26.46541156,10.1717258,10.00697319,5.35467657,20.27526428,49.47619048,50.0,1.641303613,13,117.1222222,118.0,4.22,26,28.01587302
872,126.8205066,1648.169525,162828.4,20.72070313,11.11330381,11.12133928,5.483223201,20.89921762,50.6969697,50.0,4.119317746,22,119.2575758,126.2,4.221,32,32.84848485
873,132.9198031,1648.169525,162828.4,22.06145251,11.11330381,11.12133928,5.483223201,20.89921762,50.6969697,50.0,4.119317746,22,119.2575758,126.2,4.221,32,32.84848485
874,142.3780431,980.2539236,11738.5,20.85956581,9.819621213,10.24515657,5.595656544,18.54838093,37.27027027,37.0,3.085700662,20,91.32837838,113.9,4.22,21,23.25675676
875,132.4335294,983.2447338,12590.1,22.53040541,10.6258651,10.68785969,5.77205929,20.38590556,35.32183908,35.0,3.045608306,20,89.71149425,95.2,4.222,19,22.2183908
876,140.4809294,985.2615972,13258.7,23.53784219,10.47003811,10.79618235,4.869610515,18.43966005,37.11111111,37.0,3.623057163,15,96.35138889,114.0,4.22,22,23.91666667
877,147.9507155,986.2499421,13577.8,25.56086287,10.86401781,10.86827122,5.726184784,21.04875196,38.78571429,39.0,2.40768328,10,112.3442857,113.2,4.22,26,27.95714286
878,140.624585,987.2492593,13835.6,23.56810345,11.22210635,11.21666124,5.890189947,21.40949468,36.24444444,36.0,2.880243474,17,89.91,96.4,4.22,20,22.42222222
879,143.1155995,988.2515278,14197.7,23.89694656,9.026073434,8.919313809,4.624731276,17.02974115,33.60674157,33.0,4.540994242,23,72.76292135,96.2,4.219,17,19.26966292
880,141.4388518,991.1840625,15157.7,20.76494024,11.16913675,11.36309981,5.823610334,21.44829262,37.27160494,37.0,2.880382115,14,90.28271605,104.1,4.22,20,22.72839506
881,136.8408486,992.3116782,15530.0,22.60521583,10.70546749,11.26416037,5.114794067,18.75600402,37.14473684,37.0,2.447898924,9,94.01578947,112.4,4.201,22,23.73684211
882,146.2495711,993.2751157,15879.9,26.76641221,11.23022199,11.19245912,5.692385858,21.50852903,40.29577465,40.0,2.399497402,11,111.5704225,112.3,4.22,28,29.08450704
883,136.9716149,996.2581944,16832.8,23.35029354,9.119782242,8.879232727,4.558419489,17.5896761,34.01176471,34.0,3.842468929,21,76.64941176,95.9,4.211,17,19.78823529
884,139.4744524,1015.211366,21335.1,22.0480427,10.33982299,10.97074614,5.096721217,18.24684386,36.0,35.0,3.665288997,19,70.99090909,94.7,4.219,16,18.38383838
885,144.8832754,1015.211366,21335.1,21.15785498,10.33982299,10.97074614,5.096721217,18.24684386,36.0,35.0,3.665288997,19,70.99090909,94.7,4.219,16,18.38383838
