,x,SOC (%)
955,955,87
956,956,88
957,957,89
958,958,90
959,959,91
960,960,92
961,961,93
962,962,94
963,963,95
964,964,96
965,965,96
966,966,97
967,967,37
968,968,39
969,969,41
970,970,43
971,971,46
972,972,48
973,973,50
974,974,53
975,975,55
976,976,57
977,977,60
978,978,62
979,979,65
980,980,67
981,981,70
982,982,73
983,983,75
984,984,76
985,985,78
986,986,79
987,987,81
988,988,83
989,989,84
990,990,24
991,991,26
992,992,28
993,993,30
994,994,32
995,995,34
996,996,36
997,997,37
998,998,39
999,999,42
1000,1000,44
1001,1001,46
1002,1002,48
1003,1003,51
1004,1004,53
1005,1005,56
1006,1006,58
1007,1007,61
1008,1008,64
1009,1009,66
1010,1010,68
1011,1011,70
1012,1012,72
1013,1013,74
1014,1014,75
1015,1015,77
1016,1016,78
1017,1017,80
1018,1018,81
1019,1019,82
1020,1020,83
1021,1021,84
1022,1022,85
1023,1023,86
1024,1024,88
1025,1025,89
1026,1026,90
1027,1027,91
1028,1028,93
1029,1029,94
1030,1030,94
1031,1031,95
1032,1032,95
1033,1033,96
1034,1034,96
1035,1035,97
1036,1036,97
1037,1037,97
1038,1038,99
1039,1039,19
1040,1040,21
1041,1041,23
1042,1042,25
1043,1043,28
1044,1044,31
1045,1045,33
1046,1046,36
1047,1047,38
1048,1048,41
1049,1049,44
1050,1050,46
1051,1051,48
1052,1052,51
1053,1053,54
1054,1054,56
1055,1055,59
1056,1056,62
1057,1057,64
1058,1058,67
1059,1059,70
1060,1060,72
1061,1061,75
1062,1062,77
1063,1063,78
1064,1064,80
1065,1065,81
1066,1066,15
1067,1067,17
1068,1068,19
1069,1069,22
1070,1070,25
1071,1071,27
1072,1072,30
1073,1073,33
1074,1074,36
1075,1075,38
1076,1076,41
1077,1077,44
1078,1078,46
1079,1079,49
1080,1080,52
1081,1081,54
1082,1082,57
1083,1083,60
1084,1084,62
1085,1085,65
1086,1086,68
1087,1087,70
1088,1088,13
1089,1089,14
1090,1090,16
1091,1091,18
1092,1092,19
1093,1093,21
1094,1094,23
1095,1095,24
1096,1096,26
1097,1097,28
1098,1098,29
