,Mileage (km),SOH
302,13991.4,0.9947248464052287
303,13996.3,0.9061915006535948
304,14003.5,0.9003518986928104
305,14005.0,0.9241244555555554
306,14197.7,0.9353960751633987
307,14319.3,0.9225651993464052
308,14553.2,0.938722091503268
309,14671.4,0.8903687888888888
310,14690.7,0.9515376816993464
311,14724.8,0.9786240522875816
312,14724.8,0.9699582424836601
313,14724.8,0.972692908496732
314,14736.1,0.9099001320261437
315,14736.1,0.9124704751633987
316,15059.6,0.9228482588235294
317,15157.7,0.9244369398692811
318,15189.6,0.8516931601307189
319,15201.3,0.8173137633986929
320,15494.8,0.955620683006536
321,15494.8,0.9644951274509804
322,15530.0,0.894384631372549
323,15552.7,0.8559980620915033
324,15696.8,0.8968911915032679
325,15705.8,0.9255142254901961
326,15705.8,0.939765616993464
327,15705.8,0.8940848215686275
328,15725.6,0.9841206450980391
329,15725.6,0.9787246444444445
330,15763.2,0.8839260633986927
331,15879.9,0.9558795496732025
332,15917.1,0.8492293215686274
333,15980.1,1.009554108496732
334,16074.3,0.8665059529411764
335,16074.3,0.8773766777777778
336,16337.2,0.9128723052287582
337,16376.0,0.9135732522875818
338,16463.7,0.8700425294117647
339,16535.0,0.8703681359477125
340,16610.4,0.9593208503267974
341,16610.4,0.9605886921568627
342,16662.5,0.9272824509803921
343,16688.2,0.8628146862745099
344,16707.9,0.862967054248366
345,16748.2,0.9026985222222222
346,16776.1,0.9835224352941176
347,16801.6,0.8992123235294118
348,16802.7,0.8869938352941176
349,16802.7,0.8754779444444445
350,16832.8,0.8952393130718954
351,16914.9,0.8737371692810457
352,17144.2,0.8641444549019607
353,17147.0,0.9688262790849673
354,17159.9,0.9264173986928105
355,17217.1,0.8698569647058824
356,17220.8,0.9163303692810457
357,17230.8,0.9722520777777779
358,17299.5,0.8964392503267974
359,17318.4,0.9152739640522876
360,17425.5,0.9181903013071895
361,17479.8,0.9106885777777778
362,17618.8,0.9673901379084967
363,17621.9,0.9134857607843136
364,17621.9,0.9337103790849673
365,17844.1,0.9449969019607843
366,17844.1,0.9000897209150326
367,17934.9,0.9374144183006536
368,17938.9,0.901738348366013
369,17970.5,0.948069768627451
370,17970.5,0.9343456666666667
371,17970.5,0.9208686352941178
372,17991.1,0.8797697732026144
373,17991.1,0.8714725104575163
374,18034.1,0.8929081627450981
375,18216.5,0.8992583941176471
376,18240.6,0.801589077124183
377,18240.6,0.8093034653594772
378,18249.9,0.9633581738562091
379,18249.9,0.864941214379085
380,18314.4,0.8202308352941177
381,18314.4,0.8057046790849673
382,18504.7,0.8709542771241829
383,18592.4,0.9256149143790849
384,18729.3,0.9296642816993465
385,18758.7,0.8793515006535948
386,18758.7,0.8793034614379085
387,18793.7,0.908371779738562
388,18908.6,0.9222216398692811
389,18987.0,0.8611976326797387
390,19042.3,0.954766968627451
391,19090.8,0.85195484248366
392,19111.6,0.9246619810457517
393,19119.3,0.8509636026143792
394,19119.3,0.8936076660130718
395,19273.3,0.8680625522875817
396,19350.9,0.9421454967320261
397,19350.9,0.9342508241830066
398,19433.9,0.9729315758169934
399,19504.6,1.0399007516339869
400,19514.2,0.9714326039215686
401,19631.0,0.917141485620915
402,19646.8,0.873951137254902
403,19827.0,0.9074704934640523
404,19855.3,0.9516932732026144
405,19859.6,0.8640090797385622
406,19859.6,0.8816283254901961
407,19859.6,0.8322760281045751
408,19904.8,0.8529431568627451
409,19904.8,0.8377120294117647
410,19939.9,0.9553413215686274
411,19958.0,0.8999649869281047
412,19980.1,0.9335128758169935
413,19980.1,0.885373383006536
414,20034.9,1.0349640614379085
415,20055.4,0.9521587575163398
416,20148.8,0.8917517529411764
417,20195.6,0.8691520019607843
418,20265.9,0.9132452777777778
419,20301.9,0.9750306784313725
420,20325.5,0.8243055326797386
421,20443.7,0.8559785549019608
422,20502.1,0.8615155013071896
423,20542.3,0.8296901973856209
424,20547.5,0.9140481888888888
425,20616.0,0.8982810261437908
426,20616.0,0.8957494450980392
427,20696.1,0.9545106483660131
428,20882.8,0.9627860326797386
429,20888.0,0.9452542810457517
430,20888.0,0.9494930895424837
431,20990.0,0.9425940705882354
432,21052.1,0.8226051555555556
433,21052.1,0.8084833359477124
434,21089.0,0.855244625490196
435,21091.9,0.8661288032679739
