,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
743,0.07397930294674301,0.4314927728193384,0.41893582076582325,0.41816249321113735,0.3138685700144964,0.15167805828952752,0.133362936678508,0.13392857142857145,0.03871412917833818,0.09756097560975611,0.31716640526485695,0.21633752244165166,0.31746031746031633,0.4193548387096774,0.36076898922102946
744,0.09549283249841105,0.5070186756235787,0.3178372088405003,0.4170758411447868,0.15124639060063083,0.08349816868334203,0.27185711465364126,0.2767857142857143,0.16960181186176676,0.1951219512195122,0.9571031939370472,0.6983842010771992,0.31746031746031633,0.4838709677419354,0.4697024824867601
745,0.09877993095273623,0.6321914690275199,0.3076409868945416,0.4049272651867706,0.1463891867168196,0.08062358066084516,0.28659406571936064,0.2857142857142857,0.13367826592521595,0.1951219512195122,0.9582096836831578,0.7010771992818672,0.31746031746031633,0.7096774193548386,0.6633535831734296
746,0.09877993095273623,0.6050506480958381,0.3076409868945416,0.4049272651867706,0.1463891867168196,0.08062358066084516,0.28659406571936064,0.2857142857142857,0.13367826592521595,0.1951219512195122,0.9582096836831578,0.7010771992818672,0.31746031746031633,0.7096774193548386,0.6633535831734296
747,0.09927957848073328,0.6938971383904505,0.30045702463426494,0.3963838659201423,0.15000313607803345,0.07734547363598841,0.20171195346358792,0.1964285714285714,0.041594249524636945,0.04878048780487805,0.3209998817286761,0.21543985637342916,0.3015873015873183,0.5806451612903225,0.5369332036337291
748,0.10480331676904019,0.6578762331239125,0.3036357286645027,0.39900243978983596,0.14864428042593042,0.07910303855787282,0.24744671403197158,0.25,0.10141202803666974,0.14634146341463417,0.6069144608130829,0.44165170556552963,0.31746031746031633,0.5806451612903225,0.543155332924381
749,0.13848863687206092,0.8400699433103145,0.3101013648775141,0.40279541514261946,0.1518246979895972,0.08795080921510194,0.35764202309058624,0.3660714285714286,0.1852666629561802,0.2439024390243903,0.9776262274734769,0.7262118491921006,0.31746031746031633,0.8709677419354839,0.8096367885600306
750,0.14275148229837006,0.6418521116086223,0.31084247612471344,0.4090455383898984,0.1455931016309049,0.08065425517673008,0.3365314619893428,0.3392857142857143,0.17381853894490137,0.1951219512195122,0.9580929517350493,0.7019748653500897,0.31746031746031633,0.7419354838709676,0.6798436899247067
751,0.14722090864349552,0.7321388517244619,0.30459883099420876,0.40063543154678144,0.1454988854632281,0.0802767006218736,0.35531258188277093,0.3571428571428571,0.17716139194175112,0.21951219512195125,0.9620229530349999,0.7055655296229801,0.31746031746031633,0.7419354838709676,0.7043128806297605
752,0.15197291199674268,0.7547801730947581,0.3148320706901608,0.41440579807399563,0.14768978694891027,0.08145769556527134,0.346072308525755,0.3482142857142857,0.17117032642469476,0.21951219512195125,0.9644906576358251,0.7073608617594256,0.31746031746031633,0.7741935483870966,0.7122919645835375
753,0.16629078929538355,0.7084685964462456,0.3028570334101006,0.39852879510444134,0.1444031977639873,0.07889773027727785,0.32910636811722915,0.33035714285714285,0.1231288963354267,0.21951219512195125,0.9575287433632483,0.7055655296229801,0.31746031746031633,0.6451612903225806,0.6527148046765545
754,0.1898622073160472,0.6523834694339002,0.3099420655849937,0.40805689339000684,0.14847228462705503,0.0812893953929232,0.3081413970692718,0.3125,0.15759739395589703,0.21951219512195125,0.9706028081865575,0.7100538599640933,0.31746031746031633,0.6774193548387096,0.6149471406070446
