,Max cell voltage (V),Min cell voltage (V),Cell voltage range (V)
82,3.931,3.879,0.052000000000000046
83,3.932,3.881,0.051000000000000156
84,3.935,3.883,0.052000000000000046
85,3.937,3.885,0.052000000000000046
86,3.938,3.887,0.051000000000000156
87,3.941,3.889,0.052000000000000046
88,3.943,3.891,0.052000000000000046
89,3.946,3.894,0.052000000000000046
90,3.948,3.896,0.052000000000000046
91,3.949,3.898,0.05099999999999971
92,3.952,3.9,0.052000000000000046
93,3.953,3.902,0.05099999999999971
94,3.956,3.904,0.052000000000000046
95,3.958,3.906,0.052000000000000046
96,3.96,3.908,0.052000000000000046
97,3.962,3.91,0.052000000000000046
98,3.964,3.912,0.052000000000000046
99,3.967,3.915,0.052000000000000046
100,3.968,3.916,0.052000000000000046
101,3.97,3.918,0.052000000000000046
102,3.973,3.921,0.052000000000000046
103,3.975,3.923,0.052000000000000046
104,3.977,3.925,0.052000000000000046
105,3.979,3.927,0.052000000000000046
106,3.982,3.93,0.052000000000000046
107,3.984,3.932,0.052000000000000046
108,3.986,3.933,0.05300000000000038
109,3.988,3.935,0.052999999999999936
110,3.99,3.937,0.05300000000000038
111,3.992,3.94,0.052000000000000046
112,3.994,3.942,0.052000000000000046
113,3.997,3.944,0.052999999999999936
114,3.999,3.947,0.052000000000000046
115,4.001,3.948,0.05300000000000038
116,4.002,3.95,0.0519999999999996
117,4.005,3.952,0.052999999999999936
118,4.008,3.955,0.052999999999999936
119,4.01,3.957,0.052999999999999936
120,4.012,3.959,0.05299999999999949
121,4.014,3.961,0.05300000000000038
122,4.016,3.963,0.052999999999999936
123,4.018,3.965,0.052999999999999936
124,4.02,3.968,0.0519999999999996
125,4.023,3.97,0.05299999999999949
126,4.025,3.972,0.05300000000000038
127,4.027,3.975,0.052000000000000046
128,4.029,3.976,0.052999999999999936
129,4.032,3.978,0.053999999999999826
130,4.033,3.981,0.05200000000000049
131,4.036,3.983,0.05299999999999949
132,4.038,3.985,0.05300000000000038
133,4.041,3.987,0.05400000000000027
134,4.043,3.989,0.05400000000000027
135,4.045,3.992,0.052999999999999936
136,4.047,3.993,0.053999999999999826
137,4.049,3.996,0.05300000000000038
138,4.052,3.998,0.05399999999999938
139,4.054,4.0,0.05400000000000027
140,4.057,4.002,0.055000000000000604
141,4.058,4.005,0.052999999999999936
142,4.06,4.007,0.052999999999999936
143,4.062,4.009,0.052999999999999936
144,4.065,4.011,0.05400000000000027
145,4.065,4.012,0.053000000000000824
146,4.067,4.014,0.052999999999999936
147,4.068,4.016,0.0519999999999996
148,4.071,4.018,0.052999999999999936
149,4.074,4.02,0.05400000000000027
150,4.075,4.022,0.052999999999999936
151,4.077,4.024,0.052999999999999936
152,4.08,4.026,0.05400000000000027
153,4.046,4.005,0.04100000000000037
154,4.044,4.003,0.04099999999999948
155,4.043,4.003,0.040000000000000036
156,4.043,4.003,0.040000000000000036
157,4.044,4.002,0.041999999999999815
158,4.043,4.003,0.040000000000000036
159,4.044,4.004,0.040000000000000036
160,4.045,4.005,0.040000000000000036
161,4.045,4.006,0.0389999999999997
162,4.047,4.006,0.04099999999999948
163,4.047,4.008,0.0389999999999997
164,4.049,4.008,0.04100000000000037
165,4.05,4.009,0.04099999999999948
166,4.051,4.01,0.04100000000000037
167,4.052,4.011,0.04099999999999948
168,4.053,4.012,0.04100000000000037
169,4.054,4.013,0.04100000000000037
170,4.055,4.014,0.04099999999999948
171,4.056,4.015,0.04100000000000037
172,4.057,4.017,0.040000000000000036
173,4.058,4.018,0.040000000000000036
174,4.059,4.019,0.040000000000000036
175,4.06,4.02,0.040000000000000036
176,4.061,4.02,0.04100000000000037
177,4.062,4.022,0.040000000000000036
